partida_id,clave_csi,capitulo,cap_nombre,partida_desc,partida_unidad,n_insumos_mo_eq,ficha,ficha_desc,ficha_unidad,ficha_pagina,score
cc6249ee-2de8-47e5-9c2d-c4ba3f2afa97,26 24 16.1,26,Eléctrico,"Centro de Carga de 16 Espacios NEMA 1, Empotrado en Pared, 16 polos, 125amp",PZA,2,F213004,CENTRO DE CARGA DE 12 ESPACIOS,M.L.,956,0.75
cc6249ee-2de8-47e5-9c2d-c4ba3f2afa97,26 24 16.1,26,Eléctrico,"Centro de Carga de 16 Espacios NEMA 1, Empotrado en Pared, 16 polos, 125amp",PZA,2,F213005,CENTRO DE CARGA DE 24 ESPACIOS,M.L.,957,0.75
a59aa8bf-1347-428a-ac92-1352d2099eb1,26 27 19.1,26,Eléctrico,Tomacorriente Doble ENERLITES 15A 120-277v Listado UL (Importado),PZA,2,F216002,INTERRUPTOR DOBLE,M.L.,967,0.5
624d2806-42be-47f6-990c-fdde58729819,26 27 19.4,26,Eléctrico,Tomacorriente Doble Aguila 15A 120-277v 15A,PZA,2,F216002,INTERRUPTOR DOBLE,M.L.,967,0.5
075f0bbf-5922-4561-b84e-be99f19db862,26 27 19.2,26,Eléctrico,"Tomacorriente ESPECIAL 50A 250v Sencillo (Bombar, Estufa)",PZA,2,F216001,INTERRUPTOR SENCILLO,UNID,966,0.5
8b863a98-d3b9-4cb1-917c-aaa0d657acd7,31 11 00.1,31,Movimiento de Tierra,Limpieza y Remoción de Capa Vegetal (Manual),M2,1,F011006,LIMPIEZA DE POZO,UNID,7,0.5
8b863a98-d3b9-4cb1-917c-aaa0d657acd7,31 11 00.1,31,Movimiento de Tierra,Limpieza y Remoción de Capa Vegetal (Manual),M2,1,F011010,"LIMPIEZA DE TUBERIA DE 8""",M.L.,11,0.5
8b863a98-d3b9-4cb1-917c-aaa0d657acd7,31 11 00.1,31,Movimiento de Tierra,Limpieza y Remoción de Capa Vegetal (Manual),M2,1,F012045,REMOCION DE CAPA VEGETAL (INCL. ACARREO 20 MTS.),M3,61,0.4
5b7f2ac0-48c7-4a57-bd0a-4d6b84e8d8dd,31 23 16 16.3,31,Movimiento de Tierra,Excavación Con Retroexcavadora en Terreno Tipo I Suave,M3,2,F260007,EXCAVACION CON RETROEXCAVADORA SUELO TIPO I,M3,1079,0.5
7e8b71ea-cb7c-470d-b87d-b35636184369,31 23 16.16.2,31,Movimiento de Tierra,Excavación Estructural (Retroexcavadora) En Terreno Semi Duro- Tipo II,M3,2,F014006,EXCAVACION MATERIAL TIPO II (SEMI-DURO),M3,71,0.667
7e8b71ea-cb7c-470d-b87d-b35636184369,31 23 16.16.2,31,Movimiento de Tierra,Excavación Estructural (Retroexcavadora) En Terreno Semi Duro- Tipo II,M3,2,F014002,EXCAVACION ESTRUCTURAL,M3,67,0.5
7e8b71ea-cb7c-470d-b87d-b35636184369,31 23 16.16.2,31,Movimiento de Tierra,Excavación Estructural (Retroexcavadora) En Terreno Semi Duro- Tipo II,M3,2,F260007,EXCAVACION CON RETROEXCAVADORA SUELO TIPO I,M3,1079,0.5
7e8b71ea-cb7c-470d-b87d-b35636184369,31 23 16.16.2,31,Movimiento de Tierra,Excavación Estructural (Retroexcavadora) En Terreno Semi Duro- Tipo II,M3,2,F260016,CORTE CON TRACTOR D-6 (TERRENO DURO),M3,1088,0.5
21ac7ca3-1d76-45d7-8a40-7ed7d102c1f9,31 23 16 16.4,31,Movimiento de Tierra,Excavación Estructural (Retroexcavadora) En Terreno Duro- Tipo III,M3,2,F014002,EXCAVACION ESTRUCTURAL,M3,67,0.5
21ac7ca3-1d76-45d7-8a40-7ed7d102c1f9,31 23 16 16.4,31,Movimiento de Tierra,Excavación Estructural (Retroexcavadora) En Terreno Duro- Tipo III,M3,2,F260007,EXCAVACION CON RETROEXCAVADORA SUELO TIPO I,M3,1079,0.5
21ac7ca3-1d76-45d7-8a40-7ed7d102c1f9,31 23 16 16.4,31,Movimiento de Tierra,Excavación Estructural (Retroexcavadora) En Terreno Duro- Tipo III,M3,2,F260016,CORTE CON TRACTOR D-6 (TERRENO DURO),M3,1088,0.5
21ac7ca3-1d76-45d7-8a40-7ed7d102c1f9,31 23 16 16.4,31,Movimiento de Tierra,Excavación Estructural (Retroexcavadora) En Terreno Duro- Tipo III,M3,2,F014008,EXCAVACION MATERIAL TIPO III (CON COMPRESOR),M3,73,0.4
6645745d-e8a6-49f1-86db-b4bef9b55f6a,31 23 16 16.5,31,Movimiento de Tierra,Corte y Excavación de Terreno Manual Tipo I (Materia Orgánica),M2,1,F260016,CORTE CON TRACTOR D-6 (TERRENO DURO),M3,1088,0.5
6645745d-e8a6-49f1-86db-b4bef9b55f6a,31 23 16 16.5,31,Movimiento de Tierra,Corte y Excavación de Terreno Manual Tipo I (Materia Orgánica),M2,1,F260015,CORTE Y CONFORM.CON TRACTOR D-6 (TERRENO ROCOSO),M2,1087,0.4
03e5f580-b4a1-4d2f-b86d-d454464a9f60,31 23 16 16.6,31,Movimiento de Tierra,Corte y Excavación Manual de Terreno Tipo 2 (Terreno Semiduro),M2,1,F260016,CORTE CON TRACTOR D-6 (TERRENO DURO),M3,1088,0.5
03e5f580-b4a1-4d2f-b86d-d454464a9f60,31 23 16 16.6,31,Movimiento de Tierra,Corte y Excavación Manual de Terreno Tipo 2 (Terreno Semiduro),M2,1,F260015,CORTE Y CONFORM.CON TRACTOR D-6 (TERRENO ROCOSO),M2,1087,0.4
b77325cd-e3fe-425b-b699-65eefdceed7c,31 23 16 16.7,31,Movimiento de Tierra,Corte y Excavación Manual de Terreno Tipo 3 (Terreno Duro),M2,1,F260016,CORTE CON TRACTOR D-6 (TERRENO DURO),M3,1088,0.75
b77325cd-e3fe-425b-b699-65eefdceed7c,31 23 16 16.7,31,Movimiento de Tierra,Corte y Excavación Manual de Terreno Tipo 3 (Terreno Duro),M2,1,F260015,CORTE Y CONFORM.CON TRACTOR D-6 (TERRENO ROCOSO),M2,1087,0.4
d049b62f-ecc0-49a5-bed8-11ce8a121c4c,31 23 23.13.2,31,Movimiento de Tierra,Relleno Compactado de Material Selecto e = 0.10 m,M3,1,F015003,RELLENO COMP. CON MATERIAL SELECTO (INC. ACARREO),M3,76,0.6
d049b62f-ecc0-49a5-bed8-11ce8a121c4c,31 23 23.13.2,31,Movimiento de Tierra,Relleno Compactado de Material Selecto e = 0.10 m,M3,1,F015009,RELLENO MATERIAL SELECTO /COMPAC. DE PLATO,M3,82,0.6
d049b62f-ecc0-49a5-bed8-11ce8a121c4c,31 23 23.13.2,31,Movimiento de Tierra,Relleno Compactado de Material Selecto e = 0.10 m,M3,1,F015005,RELLENO COMPACTO CON MATERIAL DEL SITIO,M3,78,0.5
d049b62f-ecc0-49a5-bed8-11ce8a121c4c,31 23 23.13.2,31,Movimiento de Tierra,Relleno Compactado de Material Selecto e = 0.10 m,M3,1,F260004,CORTE / RELLENO Y COMPACTADO EN TERRACERIA,M3,1076,0.5
d049b62f-ecc0-49a5-bed8-11ce8a121c4c,31 23 23.13.2,31,Movimiento de Tierra,Relleno Compactado de Material Selecto e = 0.10 m,M3,1,F015004,RELLENO COMP. MATERIAL CERNIDO DEL SITIO,M3,77,0.4
512d8a55-6e61-42a7-a627-9ed5ded79d50,31 23 23 13.3,31,Movimiento de Tierra,"Relleno y Compactado Con Arena Lavada, Para Tuberias Hidrosanitarias (De forma Manual)",M3,2,F260004,CORTE / RELLENO Y COMPACTADO EN TERRACERIA,M3,1076,0.5
b775065f-b8c8-45d6-bd32-6089ecd27c1e,32 31 13.3,32,Obras Exteriores,"Porton de Malla Ciclón 6' x 3 m y Tubo HG de 1 1/2""",PZA,2,F144001,"PORTON MALLA CICLON 6'X3 M. LONG. Y TUBO HG 1-1/2""",UNID,825,0.8
b775065f-b8c8-45d6-bd32-6089ecd27c1e,32 31 13.3,32,Obras Exteriores,"Porton de Malla Ciclón 6' x 3 m y Tubo HG de 1 1/2""",PZA,2,F144002,"PORTON MALLA CICLON 6' Y TUBO HG 1-1/2""",UNID,826,0.8
b775065f-b8c8-45d6-bd32-6089ecd27c1e,32 31 13.3,32,Obras Exteriores,"Porton de Malla Ciclón 6' x 3 m y Tubo HG de 1 1/2""",PZA,2,F144003,"PORTON MALLA CICLON 5', 2X1.5 M. Y TUBO HG 1-1/2""",UNID,827,0.8
b775065f-b8c8-45d6-bd32-6089ecd27c1e,32 31 13.3,32,Obras Exteriores,"Porton de Malla Ciclón 6' x 3 m y Tubo HG de 1 1/2""",PZA,2,F142003,"INST. DE MALLA CICLON DE 5´CON HG 1½""",M.L.,818,0.5
b775065f-b8c8-45d6-bd32-6089ecd27c1e,32 31 13.3,32,Obras Exteriores,"Porton de Malla Ciclón 6' x 3 m y Tubo HG de 1 1/2""",PZA,2,F144004,"PORTON DE TUBO INDUSTRIAL Y LAMINA DE 1 / 32""",UNID,828,0.4
658a31c8-66d0-43b3-b293-d3bbf4184ded,32 31 13.4,32,Obras Exteriores,Dado de Concreto Simple 60 x 30 x 30,PZA,2,F191019,CUNETA RECTAN. MAMPOSTERIA E= 25 A= 30 P= 60 EMPL.,M.L.,897,0.4
658a31c8-66d0-43b3-b293-d3bbf4184ded,32 31 13.4,32,Obras Exteriores,Dado de Concreto Simple 60 x 30 x 30,PZA,2,F191026,CUNETA RECTAN. MAMPOSTERIA E= 25 A= 60 P= 30 EMP.,M.L.,904,0.4
